GeneSymbol	GeneID	RefSeq_Protein_GI	RefSeq_Protein_Accession	Uniprot_Protein_Accession
Npepl1	311671	564344752; 157823323	XP_006235750; NP_001101276	D4A3E2
Npepo	290963	672080857; 672080863; 672080861; 1046865440; 1046865447; 1046865442; 672080859; 59933290	XP_008769653; XP_008769651; XP_008769654; NP_001012346; XP_008769652; XP_017455960; XP_017455961; XP_017455962	F1LRV1; P69527
Npepps	50558	158749540; 1046850274	NP_536320; XP_017452967	Q3B8Q9; F1M9V7; Q8VID2
Npff	60337	12018240	NP_072108	Q9WVA9
Npffr1	64107	294661831; 1046877270; 564398012	XP_017457257; XP_006256547; NP_071627	-
Npffr2	78964	564383187; 13027438; 1046859521	XP_006250849; XP_017454875; NP_076470	Q9EQD2
Nphp1	296136	929981593; 929981587; 929981595	NP_001300933; NP_001300931; NP_001300932	-
Nphp3	363126	300798394	NP_001178811	D4A1W7
Nphp4	313749	1046888643; 1046888654; 564354253; 1046888650; 189181728; 564354247; 1046888646; 564354249; 1046888648; 1046888658	XP_006239527; XP_017448921; XP_017448920; XP_006239529; XP_017448922; XP_017448925; XP_017448923; XP_017448924; NP_001032739; XP_006239526	G3V9Y6
Nphs1	64563	12018318; 672035862; 672035864	NP_072150; XP_008757408; XP_008757409	Q9QXX7; Q9JIX2; Q9R044; A0A140TAG4
Nphs2	170672	31543335	NP_570841	Q8K4G9; Q920E2; Q8CJE4; Q4G090; Q80WP2
Npl	304860	62078697; 564381070	NP_001014006; XP_006250059	Q66H59
Nploc4	140639	18034779	NP_542144	Q9ES54; Q3T1J3
Npm1	25498	672066794; 7242160	NP_037124; XP_008765768	Q63698; P13084; Q64269
Npm2	290359	564386892; 1046861005; 42714644	XP_006252323; XP_017455123; NP_976085	Q7M6Z1
Npm3	502389	109463944; 109460217	XP_577868; XP_001058548	D3ZYK9
Npnt	686753	392339031; 564301005; 109467567; 672016327; 392339033; 1046876077	XP_001075423; XP_002726087; XP_017446889; XP_006224325; XP_003753709; XP_008773491	-
Nppa	24602	6981278	NP_036744	P01161; B0BMW5
Nppb	25105	564354046; 13928738	XP_006239438; NP_113733	P13205
Nppc	114593	16758582	NP_446202	P55207
Npr1	24603	6981280; 564337062	XP_006232653; NP_036745	P18910; A1A5N8
Npr2	116564	16758694; 564350688	XP_006238072; NP_446290	P16067
Npr3	25339	6981282; 564335559	XP_006232107; NP_037000	P41740; Q64156
Nprl2	363138	158508490	NP_001020915	D3ZPN1
Nprl3	360505	564371060; 564371068; 77917566; 564371064; 564371077; 564371066; 564371072; 564371074; 564371079	XP_006246079; NP_001030108; XP_006246074; XP_006246072; XP_006246073; XP_006246076; XP_006246070; XP_006246077; XP_006246078	A0A0G2K0K3; Q499Q8
Nps	100360071	402793908	NP_001258042	P0C0P7
Npsr1	300458	672061266; 157818905	XP_008764271; NP_001100278	A0A0H2UHN0
Nptn	56064	9507073; 564363970; 672062216; 564363966	XP_006243234; XP_006243236; XP_008764552; NP_062253; 	P97546; P97547; Q6IRE8
Nptx1	266777	24308510	NP_714957	P47971
Nptx2	288475	77736539	NP_001029371	F1LR84
Nptxr	81005	36054040	NP_110468	-
Npvf	60570	13027396	NP_076442	Q920A3; Q9ESQ9
Npw	259224	23463263	NP_695206	Q8K1M5
Npy	24604	6981286	NP_036746	P07808; F2W8A6; M0RAZ3
Npy1r	29358	564388873; 564388875; 1046863355; 164518921	XP_017455540; XP_006253087; NP_001106828; XP_006253086	G3V7T1
Npy2r	66024	13027422; 564336918; 672042753	XP_006232596; XP_008759335; NP_076458	Q9ERC0
Npy4r	29471	13928788	NP_113769	Q62892; Q63447
Npy5r	25340	1046863082; 1046863080; 564388853; 564388851; 1046863078; 6981284; 1046863085	XP_017455487; XP_006253076; XP_017455486; XP_017455485; NP_037001; XP_017455484; XP_006253075	Q63634; P70586
Nqo1	24314	27501444	NP_058696	P05982; Q63478
Nqo2	291084	51948400; 564391221; 564391223	NP_001004214; XP_006253929; XP_006253930	Q6AY80
Nr0b1	58850	16758012	NP_445769	Q63152; P70503
Nr0b2	117274	16930821	NP_476474	P97947
Nr1d1	252917	164663891; 164663889	NP_665718; NP_001106893	Q63503; Q6P6S7; G3V9L8
Nr1d2	259241	584277018	NP_671743	Q62756; Q63542; Q63504
Nr1h2	58851	13928862	NP_113814	Q62755; Q62694
Nr1h3	58852	564341823; 145279192; 564341817; 564341815; 564341819	XP_006234596; XP_006234595; NP_113815; XP_006234599; XP_006234597	Q5I035
Nr1h4	60351	672058295; 672058291; 11120690; 672058293	XP_008763483; XP_008763482; XP_008763484; NP_068513	A0A0G2K6D2; Q62735
Nr1h5	690430	392338976; 392345953	XP_003749414; XP_003753694	D3ZFA7
Nr1i2	84385	16418481	NP_443212	Q9R1A7
Nr1i3	65035	1046856961; 399220348; 12621108; 1046856963; 399220344; 399220346; 1046856970; 1046856972; 1046856965; 1046856968	NP_001257768; XP_017454419; NP_001257769; NP_075230; XP_017454420; XP_017454417; XP_017454416; XP_017454421; NP_001257767; XP_017454418	Q402C0; Q402C1; Q5FVU7; Q9QUS1
Nr2c1	252924	1046895058; 21955144; 1046895055; 672058174	XP_017450161; XP_017450160; NP_665723; XP_008763438	Q8VIJ4
Nr2c2	50659	8394483	NP_059019	P55094
Nr2c2ap	361128	564388589; 114052787	XP_006252970; NP_001040569	Q4KM83
Nr2e1	684085	163954969; 1046877290	NP_001106668; XP_017457260	A9Z0I4
Nr2e3	100365683	1046836513; 672062391; 293349263	XP_002727107; XP_017459135; XP_008764597	-
Nr2f1	81808	13592107	NP_112392	Q62697; Q64114; Q62681
Nr2f2	113984	564328890; 1046839960; 18158445	XP_017444132; XP_006229428; NP_542956	O09018; A0A0G2K1W0
Nr2f6	245980	20806167	NP_620813	O09017
Nr3c1	24413	1046867705; 1046867707; 1046867709; 158303300; 1046867718; 672083147; 1046867712; 1046867715	XP_017456330; XP_017456331; XP_017456332; XP_017456329; XP_008770287; XP_017456333; XP_017456328; NP_036708	O08624; Q8R5J0; P06536; Q8R463
Nr3c2	25672	6981208	NP_037263	P22199; Q63763; Q64174
Nr4a1	79240	564361895; 1046897130; 564361899; 399498497	XP_006242418; XP_017450619; XP_006242420; NP_077364	Q4V8M4; P22829
Nr4a2	54278	1046880837; 31543340; 564340973	NP_062201; XP_006234263; XP_017447486	A0A0G2JSV4; Q07917; Q3LZI5; O35865
Nr4a3	58853	672052566; 672052568; 13994173; 1046889434	XP_017449093; XP_008761925; NP_113816; XP_008761924	Q9QWQ3; P51179; Q63516; Q2XPY2
Nr5a1	83826	564340698; 300797824	NP_001178028; XP_006234168	P50569
Nr5a2	60349	564380870; 564380872; 13492975	XP_006249990; NP_068510; XP_006249991	Q9QWM1; Q9QWM0
Nr6a1	362125	672016715; 1046881555; 564301522; 564301524; 672016717	XP_006224465; XP_006224466; XP_008773591; XP_017447631; XP_008773590	-
Nradd	246143	21245116; 564365813	NP_640352; XP_006243983	Q8K5A9; Q8K5A8; G3V8U7
Nrap	307982	564334395; 166091482; 672040754; 166091480	NP_001100913; XP_008758757; NP_001107215; XP_006231706	D4A4K6; D3Z802
Nrarp	499745	219555688; 1046829391	XP_017457306; NP_001137222	D3Z9S9
Nras	24605	564338155; 18158431	NP_542944; XP_006233121	Q04970; Q4KMB1
Nrbf2	58839	11559951; 672086328	XP_008771135; NP_071522	Q9QYK3
Nrbp1	619579	1046892933; 78042609	NP_001030169; XP_017449829	Q3SWT7
Nrbp2	680451	201860270; 564360701	XP_006241947; NP_001128479	A0A0G2JT23; D3ZA69
Nrcam	497815	1046892762; 1046892764; 1046892736; 1046892738; 1046892754; 1046892760; 47058952; 1046892734; 1046892766; 1046892768; 1046892772; 1046892730; 1046892740; 1046892744; 1046892728; 1046892746; 1046892748; 1046892752; 1046892758; 1046892770; 1046892732; 1046892742; 1046892756; 1046892774	XP_017449760; XP_017449770; XP_017449775; XP_017449778; XP_017449758; XP_017449762; XP_017449766; XP_017449767; XP_017449771; XP_017449772; XP_017449777; NP_037282; XP_017449764; XP_017449759; XP_017449761; XP_017449773; XP_017449774; XP_017449780; XP_017449763; XP_017449765; XP_017449768; XP_017449779; XP_017449769; XP_017449776	A0A0G2K3Q5; D3ZXM9; Q6PW34; A0A1W5DU98
Nrdc	25499	564351967; 6981290	NP_037125; XP_006238561	D3ZQ59; O35836; P47245
Nrde2	314381	293360055; 109479851	XP_001064833; XP_234465	-
Nrep	338475	564393095; 30017419	XP_006254657; NP_835197	Q80Z34
Nrf1	312195	1046884373; 672049134; 1046884371; 564346078; 564346082; 198278557; 672049136	XP_008760994; XP_008760995; XP_006236262; XP_017448101; XP_006236260; XP_017448100; NP_001094178	B1WC04; A0A0G2KA43
Nrg1	112400	1046862987; 402794652; 402794666; 402794692; 1046862989; 402794662; 402794669; 402794674; 1046862982; 402794699; 1046862985; 1046862991; 1046862993; 402794647; 402794658; 402794680; 402794706; 402794714; 402794640; 402794687; 1046862980	NP_001258047; NP_001258057; XP_017455460; NP_001258055; NP_001258058; XP_017455457; NP_001258049; XP_017455461; XP_017455463; NP_001258052; XP_017455459; NP_001258050; NP_001258051; NP_001258056; XP_017455462; NP_001258048; NP_001258053; NP_113776; XP_017455458; NP_001258054; NP_001258059	G3V7D6; A0A0G2K3Q3; P43325; G3V9Q0; D4ACB2; G3V7F0; P43324; D3ZC94; P43323; A0A0G2K057; P43322; P43327; P43326; P43328
Nrg2	432361	209954628	NP_001129623	O35570; O35569; O35571; O35073; O35572
Nrg3	498596	1046825119; 1046865089	XP_017455887; XP_017443117	-
Nrg4	690919	1046901359; 300798035	NP_001178038; XP_017451408	A0A0G2JYC9
Nrgn	64356	13162320	NP_077054	Q04940
Nrip1	304157	281371427; 1046852855; 1046852857; 1046852859	XP_017453508; XP_017453509; NP_001094030; XP_017453510	G3V672
Nrip2	689619	1046886820; 293358971; 564304437; 1046831860; 392340147; 564349140	XP_003753996; XP_017448536; XP_006225131; XP_017458357; XP_006237493; XP_001071392	D3ZPL0
Nrip3	361625	157817420	NP_001101968	D4A2K5
Nrk	315907	672088361; 672088363; 300796633; 672088194	XP_008771640; XP_008771686; NP_001178726; XP_008771685	F1LZB6
Nrl	290221	157822971; 564386095; 564386091; 1046860942; 672078020; 1046860940	XP_006251999; XP_017455110; NP_001099506; XP_017455109; XP_008768894; XP_006251997	D4ACF4
Nrm	361791	672085692; 47059199	NP_997673; XP_008770954	Q6MG14; A0A0G2JV21
Nrn1	83834	16758970	NP_445798	O08957
Nrn1l	100189544	201860265	NP_001128478	-
Nrp1	246331	564396376; 26023947; 564396380; 564396378	XP_006255889; XP_006255887; XP_006255888; NP_659566	Q9QWJ9
Nrp2	81527	564368643; 564368645; 13540699; 564368647; 564368649; 672065269	XP_006245102; XP_008765359; XP_006245103; XP_006245101; NP_110496; XP_006245104	O35276
Nrros	303875	564377096; 68163431	NP_001020166; XP_006248510	Q5BK65
Nrsn1	291129	187937120	NP_001099579	B2RYS1
Nrsn2	689978	1046881048; 1046881044; 1046881046; 157818263	XP_017447535; XP_017447536; NP_001103031; XP_017447534	B0K009
Nrtn	84423	39930493; 564366911	NP_445851; XP_006244409	Q811Q5
Nrxn1	60391	37620151	NP_068535	Q63372
Nrxn2	116595	672039122; 672039124; 672039126; 672039128; 672039130; 1046840028; 1046840042; 1046840036; 672039120; 672039132; 1046840038; 1046840053; 16758706; 672039118; 1046840030; 1046840049; 1046840026; 1046840034; 1046840046	XP_008758282; XP_008758284; XP_017444155; XP_008758280; XP_008758286; XP_017444159; XP_008758281; XP_017444150; XP_017444151; XP_017444154; XP_017444158; XP_008758279; XP_008758283; XP_017444152; XP_017444156; XP_008758285; XP_017444153; XP_017444157; NP_446298	Q63374; Q63375; Q63376; D3ZAD6
Nrxn3	116508	1046891533; 672056415; 672056417; 1046891530; 1046891538; 168823431	XP_008762954; XP_008762955; XP_017449474; XP_017449475; NP_446269; XP_017449473	Q07310; Q07311; Q07280; Q07313; Q07314; Q07312
Ns5atp4	311934	46485391	NP_997490	Q6QN15
Nsa2	171456	128485562	NP_599242	Q4KMB2; Q2I0Y6
Nsd1	306764	564390502; 564390508; 672081125; 157822347; 564390498; 564390504; 564390506; 672081132; 564390500; 672081128; 564390512	NP_001100807; XP_006253685; XP_006253686; XP_008769713; XP_006253687; XP_006253689; XP_006253683; XP_006253682; XP_006253684; XP_008769714; XP_008769716	D4AA06
Nsd2	680537	564384612; 564384620; 1046859475; 564384624; 564384610; 1046859478; 564384614; 300796853; 564384618; 672076954; 1046859463; 564384616; 564384622; 672076956	XP_006251434; XP_006251436; XP_017454866; XP_006251437; NP_001178481; XP_006251440; XP_017454868; XP_006251438; XP_008768585; XP_008768586; XP_017454867; XP_006251435; XP_006251439; XP_006251441	D4A9J4
Nsd3	290831	564389620; 672080500; 157821603; 564389624; 564389628; 672080496	XP_008769571; XP_006253369; XP_006253371; XP_006253373; XP_008769572; NP_001099560	D3ZK47; A0A0G2K001
Nsdhl	309262	1046907305; 57164113	XP_017457511; NP_001009399	Q5PPL3
Nsf	60355	13489067	NP_068516	Q9QUL6
Nsfl1c	83809	14010837; 564343623	XP_006235316; NP_114187	O35987
Nsg1	25247	47059500	NP_077042	Q6P9Y0; P02683; P02684
Nsg2	497878	77628033	NP_001029324	Q3KR51
Nsl1	498310	564382351; 157818769	XP_006250550; NP_001102553	F1M3N2
Nsmaf	353233	672051967; 672051965; 31077098; 1046888714	XP_017448935; NP_852054; XP_008761766; XP_008761767	Q7TSY5; A0A0G2K4H2
Nsmce1	361645	564331047; 564331049; 564331045; 88853863	XP_006230353; XP_006230354; NP_001034700; XP_006230355	A0A0G2JSX1; Q499U6
Nsmce2	299957	1046895471; 67846030; 564360149; 1046895467; 1046895476; 1046895474; 	XP_017450250; XP_017450248; XP_006241733; XP_017450247; XP_017450249; NP_001020047	Q4V8A0
Nsmce3	309259	291084660	NP_001166998	Q4KM72
Nsmce4a	293528	157820957	NP_001099771	-
Nsmf	117536	396941674; 396941670; 396941672; 564339446; 396941668; 	NP_001257557; XP_006233616; NP_001257555; NP_001257556; NP_476538	F1LLY3; D3ZVR5; D4A9M2; Q9EPI6; Q5PPF6; Q7TSC8; Q7TSC6; Q9EPI4; D4AAJ2; Q9EPI5
Nsrp1	303346	81295345	NP_001032266	Q4FZU3
Nsun2	361191	564324976; 157822221	XP_006227854; NP_001101873	D4A3S8
Nsun3	100360437	1046820724; 672070787	XP_008766836; XP_017459747	-
Nsun4	298426	1046887946; 157821259	XP_017448762; NP_001100148	D4A099; D4A5A7
Nsun5	288595	300797713	NP_001178522	G3V660
Nsun6	307148	1046865899; 672082432; 1046865904; 672082430; 157817079	XP_008770090; NP_001100837; XP_017456060; XP_008770091; XP_017456061	B1WC69
Nsun7	305339	62945260; 564383618; 564383620; 564383622	XP_006251008; XP_006251009; XP_006251010; NP_001017452	F7EYR2; Q5XIM6
Nt5c	100360582	403225015	NP_001258118	-
Nt5c1a	313574	157818609; 1046888508	XP_017448888; NP_001101446	D3ZVD3
Nt5c1b	298881	1046891858; 564355381; 564355389; 58865540; 564355385; 564355383; 564355387	XP_006239951; XP_017449563; XP_006239952; XP_006239953; NP_001011982; XP_006239950; XP_006239954	F1MAT2; A0A140UHX8; A0A0G2JX78; Q6AXN7
Nt5c2	100363253	293356572; 1046818451; 564334217; 1046847371; 392338231; 564299304; 564299300; 1046847366; 672040659; 1046818456; 564334221; 672014984	XP_002728937; XP_006223830; XP_006223828; XP_008773077; XP_006223827; XP_006231646; XP_008758717; XP_017445383; XP_017445875; XP_003753467; XP_006231645; XP_006231648	D3ZMY7
Nt5c3a	312373	564347000; 157823103; 564346996	XP_006236612; XP_006236614; NP_001101332	B2GUX5
Nt5c3b	360629	672068814; 1046849948; 156627555	XP_008766306; XP_017452886; NP_001007724	Q6AYP7; F8WG43
Nt5dc1	294456	157820461; 672086607; 1046876655	NP_001099863; XP_008771203; XP_017457116	F7EPM6; B1WC66
Nt5dc2	290558	672079257; 57164145	XP_008769208; NP_001009271	Q6Q0N3; Q5M7U9
Nt5dc3	691922	564358836; 199562203; 564358834	XP_006241265; NP_001128359; XP_006241266	-
Nt5e	58813	148747417	NP_067587	Q4G083; Q66HL0
Nt5m	287368	564372217; 157786798	XP_006246522; NP_001099255	B2RZ81; D4A5J2
Ntan1	360462	1046849717; 68341965	NP_001020295; XP_017452843	Q5BK79
Ntf3	81737	672051089; 399498550; 399498554; 399498548; 399498552	NP_001257797; NP_001257799; XP_008761517; NP_112335; NP_001257798	A0A0G2JXV7; P18280; A0A0G2JVQ7; Q6NS33
Ntf4	25730	31377533	NP_037316	P34131
Nthl1	29541	157787119	NP_001099198	D4A4E8
Ntm	50864	1046901162; 8394196; 672061328; 564362871; 1046901164; 1046901166	XP_017451355; XP_008764287; XP_017451354; XP_017451356; NP_059050; XP_006242811	Q62718
Ntmt1	362103	672044996; 1046880275; 68163475; 564340256	NP_001020190; XP_008759892; XP_017447369; XP_006233981	Q5BJX0
Ntn1	114523	410515422; 564372476; 564372478	XP_006246630; XP_006246629; NP_446183	-
Ntn3	114524	281306763	NP_446184	G3V6X3
Ntn4	299737	157817109	NP_001100250	-
Ntn5	308587	672036472; 1046842253; 1046842255; 291084648	NP_001166997; XP_017444634; XP_017444633; XP_008757602	D3ZT86
Ntng1	295382	1046872265; 1046872261; 1046872254; 157824208; 1046872258; 1046872252; 1046872263; 1046872256	NP_001099935; XP_008759616; XP_017446267; XP_017446268; XP_017446265; XP_008759615; XP_017446266; XP_017446269	-
Ntng2	311836	1046880043; 1046880052; 1046880054; 1046880056; 1046880045; 1046880048; 1046880050; 564339989; 1046880059; 157822189	XP_017447319; XP_017447325; XP_017447321; XP_017447322; XP_017447318; XP_017447324; XP_017447320; XP_017447323; XP_006233862; NP_001101295	D4A9F4
Ntpcr	361443	197381394	NP_001128045	D4A478
Ntrk1	59109	11024666	NP_067600	P35739
Ntrk2	25054	564390166; 672080847; 672080852; 672080849; 253683488; 1046865345; 6981294	XP_008769649; XP_008769648; XP_017455945; NP_001156640; NP_036863; XP_006253569; XP_008769647	Q63606; A0A0G2K5X6; Q63604; Q63605
Ntrk3	29613	1046841859; 9506939; 397174820; 397174822; 672037033	XP_008757735; NP_001257584; NP_001257585; XP_017444550; NP_062121	Q68G04; Q03351
Nts	299757	156139120	NP_001095851	G3V6J4
Ntsr1	366274	564344985; 157822691	NP_001102437; XP_006235850	P20789
Ntsr2	64636	564355468; 12083651; 1046892970	XP_006239980; XP_017449837; NP_073186	Q63384
Nuak1	299694	157824124	NP_001100244	D3ZQN8
Nuak2	289419	672073691; 56090654	XP_008767666; NP_001007618	Q66HE5
Nub1	296731	62078579	NP_001013947	Q5XIT4
Nubp1	287042	57528160	NP_001009619	Q5I0L4
Nubp2	287125	672066831; 58865352	XP_008765780; NP_001011891	Q68FS1
Nubpl	299008	672056071; 297207109	NP_001171954; XP_008762877	D3ZFQ3
Nucb1	84595	1046844531; 564328290; 564328292; 16758210; 1046844533; 564328294	NP_445915; XP_017445291; XP_006229226; XP_006229227; XP_006229225; XP_017445290	Q497A4; Q63083; P97623
Nucb2	59295	564330588; 11072106	XP_006230157; NP_067695	Q9JI85; G3V8R1
Nucks1	64709	564380559; 12248185	XP_006249859; NP_073636	Q9EPJ0
Nudc	29648	8394272	NP_058967	Q63525
Nudcd1	362906	194474036; 564359986	XP_006241676; NP_001124033	F7F163; B5DFD1
Nudcd2	287199	57526823	NP_001009621	Q5M823
Nudcd3	100125378	157073961	NP_001096832	Q32PY7
Nudt1	117260	564378347; 16923968	NP_476461; XP_006248973	P53369
Nudt10	367747	392343079; 293362792	XP_003754791; XP_346278	D3ZYH3
Nudt11	680248	564398791; 392355531; 564322550	XP_003752064; XP_006256827; XP_006227353	D3ZYH3
Nudt12	367323	564369973; 157823879; 564369975	NP_001102480; XP_006245651; XP_006245650	D4A2H8
Nudt13	682978	672077668; 189083707	XP_008768793; NP_001121108	B2GV51
Nudt14	299346	157822975; 1046892065; 1046892067	XP_017449598; NP_001100230; XP_017449599	D4A1D4
Nudt15	290365	672078690; 157823211	NP_001099519; XP_008769084	D3ZKQ0
Nudt16	363129	189011649	NP_001121026	B2RYV2
Nudt16l1	497867	198041506	NP_001094252	B0BNG7
Nudt17	502584	672043499; 157819083	XP_008759549; NP_001102810	D3ZCT0
Nudt18	361068	189181714	NP_001094202	B0BNL9; Q4KM80; Q641Y7
Nudt19	308518	672035756; 51948492	XP_008757383; NP_001004258	Q6AYD9
Nudt2	297998	46485421	NP_997479	Q6PEC0
Nudt21	291877	84781636; 564394579	XP_006255194; NP_001034093	Q4KM65; B4F764
Nudt22	293703	40018554; 564332186	NP_954521; XP_006230822	Q6P9U1
Nudt3	294292	66730447	NP_001019414	Q566C7
Nudt4	94267	564359050; 16758972	NP_446050; XP_006241344	Q99MY2
Nudt5	361274	672082453; 56090301	NP_001007734; XP_008770097	Q6AY63
Nudt6	207120	672042038; 31077146	XP_008759127; NP_852028	Q9QZD7; P70563
Nudt7	361413	779930640; 1046870197; 779927949; 1046870201; 1046870199; 1046870203	XP_017456809; XP_006255739; NP_001292356; XP_017456810; XP_017456808; NP_001292355	-
Nudt8	361692	672039561; 672014542; 293356343; 392338025	XP_003753422; XP_008758411; XP_008772975; XP_341976	D3ZEH6
Nudt9	305149	1046858580; 55741431; 564382772; 564382774	XP_006250692; NP_001006992; XP_017454652; XP_006250693	Q5XIG0
Nuf2	304951	58865624	NP_001012028	Q6AYL9
Nufip1	364430	56090303	NP_001007759	Q641W3
Nufip2	681371	392351405; 1046819296	XP_003750915; XP_008773988	D3ZC82
Nuggc	290325	672078523; 672028655	XP_008769028; XP_008767563	F1M575
Numa1	308870	672037851; 403420618	NP_001094161; XP_008757945	-
Numb	29419	82524268	NP_579821	Q3MUI1
Numbl	292732	564326910; 564326912; 76559905; 564326908	XP_006228628; XP_006228627; XP_006228629; NP_001029060	A0A0G2K9C5; A1L1I3; Q3MUI2
Nup107	116555	158138535	NP_446282	F1LSL2
Nup133	292085	564321683; 672085435; 109509038; 672085437	XP_008770893; XP_001053507; XP_008770892; XP_006222863	D3Z8B2
Nup153	25281	158186646; 1046865353	XP_017455946; NP_001093940	G3V662
Nup155	117021	16758834	NP_446404	P37199
Nup160	311182	157820171	NP_001101214	-
Nup188	366016	564340222; 564301329; 564340225; 62644863; 109469487; 564301332	XP_006233967; XP_006233968; XP_345336; XP_001077334; XP_006224403; XP_006224402	-
Nup205	362335	672049208; 672049210; 157820537; 672049206	XP_008761019; XP_008761018; NP_001102090; XP_008761017	D4A7R3
Nup210	58958	1046885485; 16758020; 564347908	XP_006236983; XP_017448342; NP_445774	P11654
Nup210l	365844	564337337; 672043085; 672043091; 300798730; 564337341; 672043087; 672043080	XP_008759417; NP_001178829; XP_006232786; XP_008759422; XP_006232788; XP_008759419; XP_008759420	D3Z8Z6
Nup214	296634	270483728; 1046881377	NP_001162031; XP_017447599	-
Nup35	295692	564341571; 51948428	XP_006234492; NP_001004229	Q68FY1
Nup37	299706	564358822; 157816883; 564358824	NP_001100245; XP_006241259; XP_006241260	G3V6M8
Nup43	683983	564324488; 189491883	XP_006227684; NP_001121663	M0R9Y3; B0BNB5
Nup50	25497	6981296	NP_037123	Q4QR93; O08587
Nup54	53372	8393855; 1046859321	XP_017454830; NP_059057	P70582
Nup58	245922	25453378; 564386464	XP_006252155; NP_620791	Q9QWK7; Q9JHE1; Q9Z2W7; P70581
Nup62	65274	564328266; 564328264; 71894951	XP_006229212; XP_006229213; NP_075586	P17955; A2VCW0
Nup62cl	300923	564341099; 564341105; 564301716; 564301724; 564301718; 564341101	XP_006224518; XP_006234316; XP_006224519; XP_006234317; XP_006224522; XP_006234319	A0A0G2KB27
Nup85	287830	70794786	NP_001020572	Q4QQS8
Nup88	113929	16758978	NP_446068	O08658
Nup93	291874	1046869682; 58865420; 672084080; 1046869684	XP_017456691; NP_001011925; XP_008770504; XP_017456692	Q66HC5
Nup98	81738	564330105; 564330111; 1046844456; 564330109; 207028853	XP_006229957; XP_017445261; XP_006229954; NP_112336; XP_006229956	P49793; D3ZMW4
Nupl2	499974	157822721	NP_001102687	D3ZHV0
Nupr1	100912108	16758406	NP_446063	O54842
Nupr1l1	103689998	672038625	XP_008758146	A0A0H2UHR1
Nupr2	360799	197385824	NP_001128042	D3ZTS1
Nus1	294400	255918181	NP_001157629	D3ZFM4
Nusap1	311336	564342392; 157820737; 564342388; 564342390; 672046567; 672046569	XP_008760323; XP_008760324; XP_006234830; XP_006234831; XP_006234832; NP_001101232	B1WBZ5; D4AAK2
Nutf2	291981	564395500; 56090307	NP_001007630; XP_006255542	P61972; P13662
Nutm1	366153	564342244; 157822489	NP_001102427; XP_006234770	D3ZMR4
Nutm2f	306798	293342644; 672081360; 672029815; 293354466	XP_008769774; XP_225188; XP_008772162; XP_001054929	D4A4R3
Nvl	289323	564382026; 564382032; 157787079; 1046856054; 564382036	XP_006250434; XP_017454217; XP_006250432; XP_006250429; NP_001099450	D3ZTY9
Nwd1	100364350	1046865093; 1046824450	XP_017460496; XP_017455889	-
Nwd2	289633	1046823227; 672076306; 109500623	XP_001078520; XP_017460286; XP_008768402	-
Nxf1	59087	25742576	NP_067590	O88984
Nxf2	308653	1046908961; 392343366; 1046908957; 392355872; 564323071; 564399995; 1046838864; 1046838868	XP_006257307; XP_017443776; XP_006227507; XP_017457842; XP_006227506; XP_006257306; XP_002727670; XP_002730329	D3Z8R9
Nxf3	302591	672088170; 672088168; 564400054; 330340428; 672088166	XP_006257333; XP_008771633; XP_008771634; NP_001178660; XP_008771632	F1M355
Nxf5	680025	1046838183; 1046908141	XP_017457688; XP_017443601	-
Nxf7	501621	672088239; 81295369; 564400016	NP_001032293; XP_008771653; XP_006257316	Q498M8
Nxn	360577	564373232; 1046849864; 157818993	XP_006246969; XP_017452869; NP_001101755	D4A0M2
Nxnl1	306342	404501522	NP_001258270	F1LP37
Nxnl2	689232	281371342	NP_001163900	D4A212
Nxpe1	500992	564363591; 564363589; 197384634; 1046901077	XP_006243081; XP_006243080; XP_017451331; NP_001128107	F1M016; M0RBP3
Nxpe2	100363350	564309954; 392350060; 392341958; 1046836379	XP_006226453; XP_003754472; XP_002729947; XP_017459105	-
Nxpe3	681096	564376605; 564376603; 1046853057; 157821953	XP_006248315; XP_017453559; NP_001102905; XP_006248314	D4ACA1
Nxpe4	500991	68163537	NP_001020226	Q5XI89
Nxpe5	680711	672026585; 564378611; 564315086; 564378615; 564315084; 672026588	XP_006249090; XP_008757517; XP_003752620; XP_006221356; XP_008757524; XP_001056892	-
Nxpe5l1	304353	672026596; 672072443; 	XP_008757540; XP_008767296	-
Nxph1	25501	6981298	NP_037126	Q3KRD4; Q63366
Nxph2	679932	1046829385; 1046881234	XP_008759839; XP_008773568	-
Nxph3	59315	11067403	NP_067711	Q9Z2N5
Nxph4	59316	52345439; 1046896903; 672058859	NP_067712; XP_017450561; XP_008763640	A0A0G2JSW7; Q9Z2N4; Q642D9
Nxt1	296219	157817973	NP_001099991	B2RZ65
Nxt2	315352	672088192; 564400261; 157822111; 564400263	XP_008771639; XP_006257422; XP_006257423; NP_001101590	B2GV77; A0A140TAD4
Nyap1	304376	1046854285; 564378884; 564378890; 564378886; 157820283	XP_006249206; XP_006249207; XP_017453814; XP_006249209; NP_001100602	D3ZDP7
Nyap2	103690221	1046906129; 1046837878; 1046837882; 1046837884; 1046837886; 1046906124; 1046906131; 1046837874; 1046837880; 1046837888; 1046906126; 1046906118; 1046906120; 1046906134; 1046906122; 1046837876	XP_008765538; XP_017459385; XP_017452327; XP_017459389; XP_017452322; XP_017459388; XP_017459386; XP_017459387; XP_017452325; XP_017452326; XP_017452328; XP_017459384; XP_017452323; XP_017452324; XP_017459390; XP_008756284	F1M3A4
