GeneSymbol	GeneID	RefSeq_Protein_GI	RefSeq_Protein_Accession	Uniprot_Protein_Accession
Ncam2	17968	163965382; 6754920	NP_001106679; NP_035084	Q71VC5; Q0VF23; O35962; O35136
Ncan	13004	568955190; 40789268	NP_031815; XP_006509606	A0A0R4IZX5; Q6P1E3; Q8C4F8; P55066
Ncapd2	68298	568942716; 22165392; 568942718; 568942714	XP_006506594; XP_006506596; XP_006506595; NP_666283	Q6ZQI1; Q9CT32; Q9CS25; Q922B7; Q923A3; A0A0R4J0H7; Q8K2Z4; Q8R3H0; Q8R0F2
Ncapd3	78658	568960257; 755529272; 568960259; 161016797; 1039794684	NP_835214; XP_006510760; XP_006510761; XP_011240929; XP_017169187	Q9CS21; K4DI67; Q6ZQK0; Q3UTU7; E9QPR0; Q80W41
Ncapg	54392	169234780; 755511617	XP_011239058; NP_062311	E9PWG6
Ncapg2	76044	568980642; 568980656; 568980644; 568980652; 568980648; 568980646; 568980654; 91208439; 568980650	XP_006516412; XP_006516417; XP_006516416; XP_006516418; XP_006516419; NP_598523; XP_006516413; XP_006516414; XP_006516415	Q6DFV1; Q3UT55; Q6SLL0; Q3UU24; E9QP71; Q922D1
Ncaph	215387	295389521	NP_659067	Q8VDM9; Q8BY01; Q8C156
Ncaph2	52683	409971411; 169646203; 568992820; 568992822; 409971409	NP_001108604; XP_006521212; XP_006521213; NP_001258530; NP_001258529	Q8C4X8; Q8C3K9; Q8CAZ3; Q99L21; Q9CT99; Q8BSP2; E9PY48; Q8C2N3; Q3TNI4
Ncbp1	433702	144922627; 1039768144	NP_001028373; XP_017175785	Q3TEM1; B1AWH4; Q3UYV9; Q7TNE8
Ncbp2	68092	13386056	NP_080830	Q3UI86; Q0VF93; Q9CQ49
Ncbp3	66874	255003740	NP_080094	Q8BZR9; Q9DBT0; Q3TNF4; Q9CS93; Q3TQ96; Q9CRM6; Q9D0G9; Q8BMB1; Q4G0C3
Nccrp1	233038	1571052985	NP_001074584	G3X9C2; Q8BT24; A0A0A0MQ97
Ncdn	26562	172072590; 1243938462; 568929156; 568929158; 1242862543	XP_006503182; NP_036116; XP_006503181; NP_001342341; NP_001342342	Q9Z0E0; Q80TW1; Q91YH7; Q9CW81; Q3TCW4; Q9QUQ0
Nceh1	320024	30520239; 755502722	NP_848887; XP_011247986	Q8BLF1; Q8BZK3; Q69ZL0
Ncf1	17969	170172553; 553727131	NP_001272966; NP_035006	F8WH69; Q3UBI5; Q09014; Q9JI34; O70144; Q3UE58
Ncf2	17970	568908346; 6754798	XP_006529299; NP_035007	Q3U5S4; Q3TC92; O70145
Ncf4	17972	568991616; 254540078; 568991618; 568991620	XP_006520627; XP_006520629; NP_032703; XP_006520628	P97369; Q3TBC6
Nck1	17973	568960803; 1027250600; 34328187	NP_001311459; XP_006510903; NP_035008	Q99M51; O55032; Q8BH99; Q9Z279
Nck2	17974	190610036	NP_035009	Q8BQ28; O55033
Nckap1	50884	1243938484; 28395023; 1243938624; 568917774; 595582321; 568917772	XP_006499945; NP_001342339; NP_058661; XP_006499944; NP_001277674; NP_001342340	P28660; Q3UPY6; Q80TX0; Q8CG49; Q99KY0; A1L0U6; A2AS98
Nckap1l	105855	755550774; 23943795	NP_705725; XP_006520318	Q8K1X4
Nckap5	210356	755494008; 755494013; 755494023; 568908526; 568908534; 1039728145; 568908538; 568908544; 568908536; 568908542; 568908546; 568908548; 568908528; 568908540; 755494011; 126362961; 755494025; 51592067; 126362965	XP_006529392; XP_006529397; XP_006529399; XP_006529395; XP_011246262; NP_795931; XP_017175031; XP_006529388; XP_011246264; XP_006529393; XP_011246261; XP_011246265; NP_001075225; XP_006529396; XP_006529398; XP_011246260; XP_006529389; XP_006529394; NP_766072	E9QAE1; E9Q3G9; Q6NZK2; Q8C6S8
Nckap5l	380969	49457863; 568992761; 568992763	XP_006521186; XP_006521185; NP_001001884	Q8BX75; Q8R364; Q6GQX2
Nckipsd	80987	1039794714; 49258190; 568963226; 568963230	XP_006511924; NP_109654; XP_006511923; XP_006511925	Q9ESJ4; Q3UYF3; Q68G72
Ncl	17975	84875537; 568908350	NP_035010; XP_006529301	Q61991; Q99K50; Q548M9; P09405; Q8BQD8
Ncln	103425	1039731829; 33469043	NP_598770; XP_017169251	Q9CX81; Q8VCM8; D3YU17; Q8C7Y4
Ncmap	230822	21704094; 283945591; 283945584; 283945588; 1039767491; 343183319; 343183321	NP_001161970; NP_851390; NP_001161972; NP_001230235; XP_017175649; NP_001230234; NP_663530	A2A992; Q99JS0
Ncoa1	17977	568977570; 568977572; 755541220; 568977574; 755541218; 6754800	XP_006515069; XP_011242143; NP_035011; XP_006515070; XP_011242142; XP_006515068	Q8CBI9; Q61202; P70366; P70365; Q66JL7
Ncoa2	17978	1039727888; 713694460; 568905260; 118026940; 1039727880; 1039727886; 1039727874; 1039727878; 1039727868; 1039727872; 1039727882; 755491696; 755491716; 1039727870; 1039727876	XP_017174730; NP_032704; XP_006495528; XP_011236663; XP_017174732; XP_017174718; XP_017174721; XP_017174722; XP_011236653; XP_017174720; XP_017174724; XP_017174726; XP_017174719; NP_001289631; XP_017174723	Q61026; E9QMH9; O09001; Q8CAG7; Q8CE59; Q8CBM5; Q8C961; E9PV80; Q8BN74; P97759
Ncoa3	17979	1039759406; 568915729; 118026946	XP_017171667; NP_032705; XP_006498951	A2A468; Q05BA5; A5D6Q2
Ncoa4	27057	77404402; 1039746231; 568987796; 568987794; 56118312; 547234824	NP_062718; XP_006519131; NP_001271248; XP_006519130; XP_017171517; NP_001029160	Q8BSH1; Q9CXF3; Q5U4H9
Ncoa5	228869	21450271; 1039760421; 755499475	XP_006499432; NP_659141; XP_017173386	Q91W39; A2A5L2; B7ZC24
Ncoa6	56406	568917875; 568917873; 145587671; 755500262; 755500264; 336020351	XP_006499990; XP_011238011; XP_011238010; NP_001229487; XP_006499991; NP_062799	F6M2J9; Q5XJV5
Ncoa7	211329	755532949; 1304473053; 56790923; 755532944; 568965214; 755532946; 162287054; 1304473100	XP_011241455; NP_001104737; NP_001345770; NP_766083; XP_006512707; NP_001345771; XP_011241456; XP_011241457	Q8BJ15; Q3TAR1; Q66K05; A9Q6S9; Q3UNB3; Q8BJ39; Q6DFV7; Q6ZQM4; B9EIW5
Ncor1	20185	568972489; 568972493; 1039736204; 1039736223; 1039736233; 1039736242; 1039736244; 1039736262; 1039736264; 568972463; 1039736195; 1039736209; 1039736252; 356640155; 568972473; 568972479; 356640157; 568972465; 568972467; 568972487; 1039736189; 1039736197; 1039736207; 1039736212; 1039736214; 1039736218; 1039736225; 1039736229; 28893271; 568972477; 568972483; 568972485; 1039736185; 1039736237; 1039736268; 568972475; 1039736216; 1039736260; 568972469; 568972491; 1039736202; 1039736227; 1039736231; 1039736235; 1039736250; 1039736255; 1039736266; 1039736187; 1039736199; 1039736220; 1039736246; 1039736248; 1039736258	XP_017169859; XP_017169864; XP_017169868; XP_017169870; XP_017169872; XP_017169873; XP_017169876; XP_006532682; XP_006532688; XP_017169851; XP_017169860; XP_017169875; XP_006532676; XP_006532677; XP_006532686; XP_006532687; XP_017169857; XP_017169861; XP_017169874; XP_006532681; XP_006532684; XP_017169862; XP_017169865; XP_017169878; XP_017169852; XP_017169854; XP_017169867; NP_001239242; XP_006532679; XP_017169845; XP_017169846; XP_017169853; XP_017169863; NP_796203; XP_006532678; XP_006532689; XP_017169847; XP_017169848; XP_017169849; XP_017169858; XP_017169880; NP_035438; XP_006532683; XP_006532690; XP_006532691; XP_017169850; XP_017169855; XP_017169856; XP_017169866; XP_017169869; XP_017169871; XP_017169877; XP_017169879	Q8CHB6; Q5RIM6; Q8BK32; Q5PRE9
Ncor2	20602	755514084; 755514086; 755514096; 755514098; 1039770882; 1039770895; 755514090; 755514092; 755514094; 755514104; 755514108; 1039770878; 1039770880; 1039770886; 755514082; 755514100; 755514113; 568937770; 568937772; 1039770884; 1039770890; 359806915; 755514118; 359806942; 755514106; 1039770876; 568937768; 755514110; 1039770893; 755514088; 359806952	XP_011239124; XP_011239134; XP_011239136; XP_017176245; XP_017176249; XP_017176251; XP_006504347; XP_011239122; XP_011239129; XP_011239131; XP_011239132; XP_011239127; XP_017176243; XP_017176246; NP_001240833; XP_006504345; XP_011239130; XP_011239133; XP_011239138; XP_017176250; XP_011239125; XP_017176248; NP_035554; XP_006504346; XP_011239123; XP_011239128; XP_011239135; XP_017176247; XP_011239126; XP_017176244; NP_001240834	Q9WU42; E9Q9V3; F8VQL9; E9PY55; Q9WU43; Q9WUC1; Q80ZV7; E9Q9V0
Ncr1	17086	31981638; 1569120299; 568944953	NP_034876; XP_006539648; NP_001355293	Q1RLN4; Q9Z0Q4; A0A0R4IZY7; Q8C567; Q80UY6
Ncs1	14299	9790115	NP_062655	Q8BNY6; A2AJ84
Ncstn	59287	224809376; 568911077; 1039729676	NP_067620; XP_017177361; XP_006497015	P57716; E9QLZ6; Q8VE20
ND1	17716	34538598	NP_904328	Q4JFN6; P03888; Q9G0S6
ND2	17717	34538599	NP_904329	Q9MD59; P03893
ND3	17718	34538605	NP_904335	Q35039; Q9MD73; P03899; Q7GIP5; Q35040
ND4	17719	34538607	NP_904337	Q7JCY6; P03911
ND4L	17720	34538606	NP_904336	Q9MD77; P03903
ND5	17721	34538608	NP_904338	P03921; Q9MD82
ND6	17722	34538609	NP_904339	Q7JCY4; P03925
Ndc1	72787	568929802; 28077005	NP_082631; XP_006503486	Q8VCB1
Ndc80	67052	217035142	NP_075783	Q9D0F1; Q99P70; Q3UWM5; Q3TQT6
Nde1	67203	755553961; 550822410; 166197652; 550822038; 166197654	XP_011244302; NP_001107557; NP_075806; NP_001272432; NP_001272433	Q9CZA6; Q3UBS6; Q3UIC1; Q9ERR0
Ndel1	83431	568976496; 1390003482; 238550188; 1389994918	NP_076157; XP_006534603; NP_001350233; NP_001350234	Q9ERR1; Q9EPT6; Q9D0Q4
Ndfip1	65113	569004304; 1246417709; 89001091	XP_006526212; NP_075372; NP_001342678	Q9EQH8; Q8R0W6
Ndfip2	76273	300360478; 300360482	NP_083837; NP_001177918; 	M0QWK1; Q3V1V0
Ndn	17984	31981598	NP_035012	Q542W7; Q61951; B9EJJ5; P25233
Ndnf	68169	254692896; 568942708	NP_765987; XP_006506591	Q8C119; Q80VN3; Q8BWV6
Ndor1	78797	568914560; 357527452; 568914545; 568914552; 568914556; 568914570; 755498061; 568914547; 568914550; 568914558; 568914539; 568914537; 568914541; 568914543; 126723293; 357527449	XP_006498515; NP_001075945; NP_001239470; NP_001239471; XP_006498504; XP_006498505; XP_006498518; XP_006498508; XP_006498509; XP_006498511; XP_006498514; XP_006498506; XP_006498513; XP_006498510; XP_006498507; XP_011237515	A0A2I3BQN1; A2AI05; Q3TQZ6; Q80WC5
Ndp	17986	6754808	NP_035013	Q5CZY6; P48744
Ndrg1	17988	118150658	NP_032707	P97862; Q545R3; Q62433
Ndrg2	29811	568987868; 1337002792; 1337931651; 1337002713; 755548416; 1039746309; 1337002758; 1337002831; 1337002747; 1039746311; 7305305; 755548414; 568987870; 1337002784; 568987866; 1039746319; 1039746324; 1039746313; 225543196; 1337002811; 1337002833; 1337002719; 1039746315; 1039746317; 1039746321; 1337002743; 1337002705	XP_006519166; XP_017171534; XP_017171539; NP_001347198; XP_017171537; NP_001347205; XP_006519162; XP_006519167; XP_017171535; XP_017171541; NP_001347195; NP_001347203; NP_001139431; NP_001347194; NP_001347197; XP_006519161; XP_017171536; NP_038892; XP_006519168; XP_017171538; NP_001347193; NP_001347196; NP_001347202; XP_017171540; NP_001347199; NP_001347200; NP_001347201	Q8C661; Q3TI48; Q3TY42; Q9QYG0; Q3U3T5; Q69ZN2
Ndrg3	29812	755499880; 755499874; 755499882; 1039760961; 1242862652; 1242862611; 1242862515; 755499878; 1039760959; 1243938612; 755499876; 7305307; 255918147	XP_011237895; XP_017174456; XP_017174457; NP_001342321; XP_011237898; NP_001342320; XP_011237896; NP_001342323; NP_851287; NP_001342322; XP_011237899; NP_038893; XP_011237897	Q8VCV2; Q544I1; Q9QYF9
Ndrg4	234593	568956535; 21704212; 303324545; 568956531; 568956533	XP_006530930; XP_006530931; XP_006530932; NP_001181935; NP_663577	Q6ZPW3; Q8BTG7; Q923D7
Ndst1	15531	569003311; 1143076933; 569003319; 755560539; 569003323; 42734444; 569003315; 569003317; 755560547; 1143076929; 1143076931; 1143076949; 569003313; 1143076954	XP_006525731; XP_006525733; NP_001335029; XP_006525734; XP_011245148; NP_001335032; NP_001335031; XP_006525736; XP_011245146; NP_032332; XP_006525730; XP_006525732; NP_001335030; NP_001335075	Q3UHN9; O70353; Q3TBX3; Q8BZE5; Q9R206; Q3TDS3
Ndst2	17423	755547934; 755547936; 113195688	NP_034941; XP_011243284; XP_011243283	P52850; Q549P5; Q3UDF4
Ndst3	83398	568924666; 656214644; 71043953; 568924657; 568924670; 568924659; 568924662	XP_006502434; XP_006502439; XP_006502435; NP_112463; XP_006502433; NP_001280611; XP_006502437	Q9EQH7; G3UXE3; E9PZJ4; Q6AXE0; D3YXE5; Q9D557
Ndst4	64580	755504228; 1039764823; 157042776; 568923585; 568923587	XP_006501922; XP_017175172; XP_011238491; XP_006501923; NP_072087	Q9EQW8; D3Z1R7
Ndufa1	54405	9506911	NP_062316	O35683; Q545K0
Ndufa10	67273	13195624	NP_077159	Q8BL57; Q9CW21; Q99LC3; Q3UKK0
Ndufa11	69875	226437665	NP_081520	G5E814
Ndufa11b	239760	149267300; 568996878; 568996880	XP_006522879; XP_006522880; XP_988711	-
Ndufa12	66414	1409931462; 1409931505	NP_001351620; NP_079827	A0A0R4J275; Q7TMF3; Q3TIA0
Ndufa13	67184	568955580; 12963633; 568955578; 568955576; 568955586; 755526000; 1039790587	XP_006509792; XP_006509796; XP_017168432; XP_006509793; NP_075801; XP_006509791; XP_011240623	Q9ERS2; J3QM68; F6W8I0; Q9DCA1; Q9DC98; Q8R2K0; A0A0A0MQI6
Ndufa2	17991	31981600	NP_035015	Q9CQ75; Q9WUB2
Ndufa3	66091	21539587	NP_079624	Q0VBA7; Q9CQ91
Ndufa4	17992	33563266	NP_035016	Q62425; Q9CQP6
Ndufa4l2	407790	568967953; 149192867	NP_001092259; XP_006513897	Q4FZG9
Ndufa5	68202	901694076; 13386100	NP_001297997; NP_080890; 	Q9D2P2; D3YTQ8; Q9CPP6; Q9D703; Q9D739; Q9CY90
Ndufa6	67130	13385492	NP_080263	Q9CQZ5
Ndufa7	66416	12963571	NP_075691	Q9Z1P6
Ndufa8	68375	21312012	NP_080979	Q9DCJ5; A2AL45
Ndufa9	66108	254692859	NP_079634	Q9DC69; Q99JP9; Q6GTD3
Ndufab1	70316	1341395574; 568951392; 1341395587; 27754007; 	XP_006508263; NP_082453; NP_001347673; NP_001347672	Q9D726; Q569N0; Q9CR21; Q9D7V5
Ndufaf1	69702	1251770340; 568918345; 31980802; 568918343	XP_006500212; NP_001343396; XP_006500211; NP_081451	Q9CWX2; A0A0R4J081; Q8VEI8
Ndufaf2	75597	568984737; 1335348683; 188035926	XP_006517842; NP_001347069; NP_001120818	Q59J78; Q80VX9; Q14A56
Ndufaf3	66706	12963603	NP_075736	Q8K1A3; Q9JKL4
Ndufaf4	68493	21624617	NP_081018	Q9D1H6; Q3TV72
Ndufaf5	69487	755500501; 166295190; 755500503	NP_081369; XP_011238070; XP_011238069	Q9D7L6; A2APY7
Ndufaf6	76947	568927589; 568927593; 147906108; 568927591; 755506936; 568927595; 568927597; 568927599; 755506934	NP_001078962; XP_006538420; XP_006538423; XP_011248432; XP_006538418; XP_006538422; XP_011248433; XP_006538421; XP_006538419	A2AIL4
Ndufaf7	73694	569001778; 158937256	XP_006525058; NP_082887	Q8C1X3; E9QLM6; Q9CWG8
Ndufaf8	208501	159106929	NP_001103712	B2RWC2; A2AMZ4
Ndufb10	68342	58037109	NP_080960	Q3UAE3; Q9DCS9
Ndufb11	104130	1292373558; 158631246; 569008609	NP_062308; NP_001345553; XP_006527617	O09111
Ndufb2	68198	13386096; 568942710; 1302188070	NP_080888; XP_006506592; NP_001345726; 	Q9CPU2
Ndufb3	66495	13385054	NP_079873	Q9CQZ6; Q3UUR9
Ndufb4	68194	21314826	NP_080886	Q9CQC7
Ndufb4b	100042503	149270460	XP_001478493	Q9CQC7
Ndufb4c	100041273	1375022825; 149266669	NP_001348976; XP_001476621	Q9CQC7
Ndufb5	66046	27754144; 568921009	XP_006535577; NP_079592	Q9CQH3; D3Z568
Ndufb6	230075	84781779	NP_001028477	A2AP31; Q3UIU2
Ndufb7	66916	13385322	NP_080119	Q9CR61
Ndufb8	67264	569007709; 13385558; 1108846649	NP_001334376; NP_080337; XP_006527355	Q3V406; Q9D6J5; Q9D6M7
Ndufb9	66218	1423310306; 29789148	NP_075661; NP_001351737	Q9CQJ8
Ndufc1	66377	13384946	NP_079799	Q58DY9; Q9CQY9
Ndufc2	68197	18859597	NP_077182	Q9CQ54; Q3TLB2
Ndufs1	227197	229892320; 568906305; 229892316; 229892322; 229892318	NP_001153511; NP_663493; XP_006496015; NP_001153512; NP_001153510	Q8BM16; Q91VD9; Q3UQ73
Ndufs2	226646	23346461	NP_694704	Q3U5Y9; Q91WD5; Q3UJX7; Q99L23; Q3TNA8
Ndufs3	68349	58037117	NP_080964	Q8BTZ3; Q9DCT2; Q8R073
Ndufs4	17993	281485615	NP_035017	Q9CXZ1; E9QPX3; Q9WUB1
Ndufs5	595136	72004262	NP_001025445	Q3U734; Q99LY9
Ndufs6	407785	56711244	NP_035018; 	P52503; Q5M9J7
Ndufs6b	623286			-
Ndufs7	75406	568968863; 1409931437; 21312950	XP_006514333; NP_001351623; NP_083548	Q9DC70
Ndufs8	225887	406855425; 46195430; 406855423	NP_001258372; NP_001258373; NP_659119	Q8K3J1; Q3UY05; Q5M9P5
Ndufv1	17995	19526814	NP_598427	Q91YT0
Ndufv2	72900	110625954; 510025446	NP_001265344; NP_082664	Q8BU07; Q9D6J6; Q3U9L9; Q8K2L0
Ndufv3	78330	140969946; 140972309	NP_001077360; NP_084363	Q8BK30; Q3U422
Neb	17996	568913085; 568913107; 568913119; 568913091; 568913103; 568913109; 568913111; 568913131; 755497222; 1039759408; 1039759414; 568913113; 568913117; 568913115; 568913123; 568913125; 568913081; 568913099; 1039759410; 568913101; 148222065; 568913093; 568913097; 568913135; 1039759412; 568913121; 568913133	XP_006497825; XP_006497826; XP_006497829; XP_006497832; XP_006497812; XP_006497823; XP_006497827; XP_006497830; XP_006497833; XP_006497834; NP_035019; XP_006497820; XP_006497828; XP_017171677; XP_006497814; XP_006497817; XP_006497821; XP_006497822; XP_006497831; XP_006497839; XP_006497818; XP_017171670; XP_017171704; XP_017171705; XP_006497837; XP_011237334; XP_006497838	E9Q1W3
Nebl	74103	1383482448; 755496893; 21311871; 568912574; 568912576	XP_006497619; NP_001349651; XP_011237292; NP_083033; XP_006497620	Q9DC07
Necab1	69352	227330602; 568927338	NP_848732; XP_006538297	Q80W91; Q8BG18
Necab2	117148	568955953; 1039781522; 16905129	XP_017168015; NP_473436; XP_006530646	Q91ZP9; Q8C492; Q1LZI4
Necab3	56846	755500273; 148922939; 755500271; 	NP_067521; XP_011238014; XP_011238015	A1L0S1; A2AKE9; Q3TYZ9; Q9D6J4; A2AKE8; A1L0S0; Q9ESR0
Necap1	67602	27229051; 	NP_080543	Q9CR95; Q8C4P1; Q3TH13; Q78JW3; Q0VB06
Necap2	66147	13384758	NP_079659	Q3U1M1; Q9D1J1; Q9CV41
Nectin1	58235	40254534	NP_067399	Q6P9M9; Q9ERL5; Q9JKF6; Q9JI17
Nectin2	19294	228480273; 228480275	NP_033016; NP_001153196	Q80XJ5; Q62096; Q8C6F2; P32507
Nectin3	58998	12957492; 12957496; 568995963; 12957494; 	NP_067471; NP_067472; XP_006522497; NP_067470	Q9JLB9; Q059N7; Q9D006; Q9JLB8; Q9JLB7
Nectin4	71740	170014682; 170014686	NP_001116152; NP_082169	Q9DBP8; Q8CED8; Q8R007; Q3U318
Nedd1	17997	171543875; 568966904	XP_006513397; NP_032708	P33215; Q8BN12; Q8BN86; Q8BQL9; Q6NXV3; Q9CWK2
Nedd4	17999	56699423; 755529777; 1276740379	NP_001344927; XP_011240974; NP_035020	B2RSC8; P46935; Q3UZI2; Q8BGB3; O08758
Nedd4l	83814	1039756614; 167466245; 569004770; 569004780; 569004782; 755561451; 755561459; 569004768; 569004776; 569004778; 167466243; 569004762; 569004786; 1039756616; 569004764; 569004774	XP_006526442; NP_114087; XP_006526434; XP_006526437; XP_011245346; NP_001107858; XP_006526439; XP_006526440; XP_017173504; XP_017173505; XP_006526436; XP_006526445; XP_006526441; XP_006526443; XP_006526433; XP_011245349	E9PXB7; G3X9H8; A0A286YCM8
Nedd8	18002	6679034	NP_032709	Q3UI46; P29595
Nedd9	18003	148747485; 162461098; 568982399	NP_059492; XP_006516937; NP_001104794	Q99KE7; O35177; Q8BJL8; Q8BM94; Q8BL52; Q8BK90; Q8BMI9; A0A0R4J212
Nefh	380684	124286811	NP_035034	Q5SVF6; P19246; A1E2H9; Q61959; Q80TQ3
Nefl	18039	39204499	NP_035040	P08551; Q8K0Z0
Nefm	18040	112363107	NP_032717	Q61961; Q3TPK2; Q3HRJ6; P08553; Q3TNS4; Q0VDM8; Q8BQ20; A2VCT5; A0A0R4J036
Negr1	320840	568922992; 84875493; 568922990; 28893343; 568922988	XP_006501640; XP_006501641; NP_001034183; NP_796248; XP_006501639	Q80Z24; Q3UHQ8; Q80T70; A0A4W9; D3Z4T6
Neil1	72774	1270530335; 755530511; 22094129; 568962156; 568962160; 568962158	XP_011241120; NP_001344338; XP_006511548; XP_006511549; XP_006511550; NP_082623	Q8K4Q6; Q9CYT9; Q80V58
Neil2	382913	568988063; 755548517; 755548515; 118130803; 568988067; 568988071; 568988069	XP_006519266; XP_011243410; XP_006519264; NP_963904; XP_006519265; XP_011243411; XP_006519262	Q6R2P8; G3X969; Q1LZM6
Neil3	234258	22122759; 	NP_666320; 	Q8K203; Q4ADY6; Q8CD85; Q8R3P4
Nek1	18004	1039785786; 651165742; 651166098; 568954569; 1039785775; 1039785742; 651165613; 124107627; 1039785707	NP_001280567; NP_001280568; XP_017168099; XP_006509357; XP_017168097; XP_017168098; NP_001280566; XP_017168100; NP_780298	B2RXX0; Q3UXI0; P51954; B2RXQ4; B7ZWK0
Nek10	674895	568985597; 1039746752; 568985588; 304766813; 755547033; 	XP_006518155; XP_011243073; XP_006518159; XP_017171654; NP_001182158	K3W4R8; Q3UGM2
Nek11	208583	568962852; 568962850; 568962864; 568962856; 568962866; 568962868; 1039792566; 255522951	XP_006511749; XP_006511748; XP_006511750; NP_766049; XP_017168748; XP_006511743; XP_006511742; XP_006511745	Q8C0Q4; E9QNC3; Q8BLS6; Q8BW62
Nek2	18005	568911620; 190684657	XP_006497186; NP_035022	O35959; O35942; Q6PFG1; Q3TPD7
Nek3	23954	568954076; 251823712; 251823709	NP_001156419; XP_006509174; NP_035978	Q9Z0X9; F8WGD4; Q9R0A5; E9QLM2
Nek4	23955	755548314; 6754822; 755548311; 815930010	XP_011243371; XP_011243370; NP_001295257; NP_035979	Q3UED6; Q9R1J1; O35673; Q6GTE9; Q9Z1J2
Nek5	330721	755525025; 755525037; 1039790184; 568954165; 755525041; 1104167518; 31559852; 755525035; 568954177; 568954167; 568954175; 755525031; 755525039; 1039790177; 755525028	XP_006509223; XP_011240447; XP_011240450; NP_808566; XP_006509217; XP_011240445; XP_017168352; XP_011240449; XP_017168353; XP_006509222; XP_006509218; XP_011240446; XP_011240448; XP_011240451; NP_001334247	Q8CCJ0; Q7TSC3; Q8C6N6
Nek6	59126	568914049; 227499829; 568914047; 11037794	XP_006498272; XP_006498273; NP_067619; NP_001153103	Q9DBI8; Q3TCE9; Q9ES70; Q8C6E6; Q9D0E2
Nek7	59125	11037792; 902763335	NP_001298077; NP_067618	Q3UEV7; Q3TN15; Q9ES74
Nek8	140859	568971573; 568971571; 19263332; 568971569	NP_543125; XP_006532247; XP_006532246; XP_006532248	Q91ZR4; Q3U498; Q9D685
Nek9	217718	568979321; 158631240	XP_006515771; NP_660120	Q8K1R7; Q148U2; Q8R3P1; Q69Z43
Nelfa	24116	33859652	NP_036044	Q8BG30; Q9Z1V9; Q9CSJ9; Q8BVE4; Q8VEI7
Nelfb	58202	862669349; 862669347	NP_001297086; NP_067368	Q69ZP4; Q99J41; A0A0X1KG62; Q9JJA5; Q8C4Y3
Nelfcd	57314	568917911; 91982765	NP_065605; XP_006500009	Q922L6; A2AQ05; Q9QXC8; Q9QXD0; Q9QXC9
Nelfe	27632	114052226; 114052414; 114052228	NP_001039328; NP_001039329; NP_613046	P97486; P19426; P97485; Q9CZN3; Q3UIA1
Nell1	338352	83776571	NP_001032995	Q2VWQ2
Nell2	54003	1257171113; 568992849; 568992851; 1255287579; 576067787; 755551893	XP_011243995; NP_001276582; NP_001343879; XP_006521226; NP_001343880; XP_006521227	Q61220; Q80UM5
Nemf	66244	32130521; 755542965; 	NP_079717; XP_011242459	Q8CA65; Q9D4A9; Q3TAS9; Q9CW30; Q8JZT9; Q8CCP0; Q9CYB8; Q66JX6; Q3UF46; Q8C9R6; Q8R072
Nemp1	210035	30424569; 755534323; 163965424	NP_001106682; XP_011241695; NP_776093	Q8K2N3; Q6ZQE4
Nemp2	227094	217416364; 568906274; 568906272	XP_006496000; XP_006495999; NP_001136119; 	Q8CB65; Q8C844
Nenf	66208	13384818	NP_079700	Q9CQ45; Q5TM91
Neo1	18007	568960813; 568960815; 568960817; 112363084; 112363082; 568960809; 568960811; 568960807	XP_006510905; XP_006510906; XP_006510908; XP_006510910; XP_006510909; NP_001036217; NP_032710; XP_006510907	Q7TQG5; E9QK04
Nepn	66650	568965574; 568965576; 13385148	NP_079960; XP_006512881; XP_006512882	Q9CQ76
Nepro	212547	22122411; 568994998; 568995000	XP_006522034; XP_006522035; NP_666084	Q3TS42; Q8R2U2
Nes	18008	50363232	NP_057910	Q6P5H2; Q80X00; Q9CV43; A1E2I2; Q8BPH7; Q9R0C4
Net1	56349	114145477; 114145471	NP_001040624; NP_062645	Q3USZ7; Q9Z206; Q8C4I0; Q9Z1L7
Neto1	246317	569005338; 1039756000; 1039756010; 569005340; 569005343; 569005345; 569005351; 569005349; 755562124; 1039755998; 251823964; 1344537743	XP_006526549; XP_017173398; NP_001347839; NP_659195; XP_006526543; XP_006526544; XP_006526546; XP_011245383; XP_017173396; XP_006526545; XP_006526548; XP_017173397	Q8C4S3; Q80X39; Q8CCM2; Q8R4I7
Neto2	74513	568957712; 568957716; 568957718; 755527348; 124486763; 1269612268; 1269236866	NP_001074793; NP_001344216; XP_006531502; XP_006531503; XP_006531500; XP_011246830; NP_001344217	Q8C4Q8; B2RXQ6; B2RX93; Q5VM49; Q8BNJ6
Neu1	18010	254939721	NP_035023	O35657; Q3UL64; O55220; Q99KG9
Neu2	23956	237512989; 568908940; 237512993; 7657375; 237512991	XP_006529587; NP_056565; NP_001153637; NP_001153636; NP_001153635	C0KJU9; A0A0R4J224; Q0VGI4; Q9JMH3; Q99NA3; E9Q0I0; Q3ULV6
Neu3	50877	7710068	NP_057929	Q543I9; Q9JMH7
Neu4	241159	894216196; 30424629	NP_001297698; NP_776133	C5NTX9; Q6NS66; Q8BZL1
Neurl1a	18011	254939528; 254939526	NP_001156952; NP_067335	Q91ZT6; Q923S6; Q9CWF1; Q499W5; Q9QWF1
Neurl1b	240055	126116567	NP_001075125	Q0MW30; C9DQJ8
Neurl2	415115	133505676	NP_001076443	A2A5J5
Neurl3	214854	568906094; 568906090; 568906092; 23510281	XP_006495911; XP_006495910; XP_006495909; NP_700457	Q8BS05; Q8CJC5
